"prov","zambara_region","n_hh","n_psu","mean_income","totmhinc","totmhinc.1","deff"
1,"Southern Cape",1871,338,23322.9872235044,1491.93796045422,1126.87202325615,1.96629040014812
2,"Coastal Plains",2666,430,8889.30837144071,327.027986911233,348.242537324205,1.15575261602585
3,"Western Drylands",840,141,13123.1595346876,1252.72181515022,1203.50210168863,1.59836920028689
4,"Central Plateau",1239,188,9310.50946739113,655.012083307789,658.394510882066,0.993811138106642
5,"Eastern Highlands",3153,504,11551.0499269787,729.77277433021,681.779131689834,1.32026642949214
6,"Mining Belt",1317,234,9735.81336038934,673.594407010232,619.241856624726,1.48220221871595
7,"Capital Region",5413,837,15622.2819718573,482.705415782869,420.198594437561,1.86383042149585
8,"Eastern Forests",1647,241,9884.16157874445,628.001767383527,647.774270085798,1.18081234708239
9,"Northern Bushveld",2361,295,9100.77608160848,491.798887816604,339.32374207127,2.50183865386205
