"Province","Mean","SE","CV"
1,354565.798488111,47422.7422334185,13.3748777901399
2,190263.564681372,29104.6151366216,15.2969987634585
3,188893.203995141,52220.5244474348,27.6455284483278
4,347144.164965664,72121.9038719593,20.7757788119794
5,415606.34418161,43206.1167454271,10.3959232938338
6,153289.3394722,46213.8501168999,30.1481174594539
7,243106.576301158,23987.8204830597,9.86720344962772
8,152888.437557052,31815.4067217347,20.809557105888
9,122853.595653834,30052.1503061166,24.4617588489594
